ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104292.902,-90992.82269,127335,13.97656153,211.1102362,44.59825069,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104292.902,-90886.3198,136603,15.22180754,237.8031496,48.70484811,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104292.902,-90886.3198,136603,15.22180754,214.7086614,48.70484811,
MeanModelFS_Dec_150_9,ND,150,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_150_9,-104521.1788,-91109.4082,229350,15.8112823,367.5511811,52.36566245,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104292.902,-90833.50595,90984,14.85514965,226.4251969,45.95810252,
MeanModelFS_Dec_150_9,ND,150,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_150_9,-104521.1788,-91011.96955,149527,14.84453974,450.6456693,45.9581026,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104292.902,-90833.50595,117240,14.85514965,775.5433071,45.95810252,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_100_9,-104292.902,-90833.50595,96341,14.85514965,225.0551181,45.95810252,
MeanModelFS_Dec_150_9,ND,150,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_150_9,-104521.1788,-91011.96955,105996,14.84453974,330.3543307,45.9581026,
MeanModelFS_Dec_200_9,ND,200,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_200_9,-104521.1788,-91011.96955,172717,14.84453974,343.1417323,45.9581026,
MeanModelFS_Dec_250_9,ND,250,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_250_9,-104521.1788,-91011.96955,116424,14.84453974,328.2519685,45.9581026,
MeanModelFS_Dec_300_9,ND,300,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_300_9,-104521.1788,-91011.96955,208709,14.84453974,343.0944882,45.9581026,
MeanModelFS_Dec_350_9,ND,350,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_350_9,-104521.1788,-91011.96955,166461,14.84453974,349.2677165,45.9581026,
MeanModelFS_Dec_400_9,ND,400,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_400_9,-104521.1788,-91011.96955,168546,14.84453974,389.1653543,45.9581026,
MeanModelFS_Dec_450_9,ND,450,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_450_9,-104521.1788,-91011.96955,178744,14.84453974,347.4015748,45.9581026,
MeanModelFS_Dec_500_9,ND,500,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_500_9,-104521.1788,-91011.96955,190880,14.84453974,431.7716535,45.9581026,
MeanModelFS_Dec_550_9,ND,550,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_550_9,-104521.1788,-91011.96955,183422,14.84453974,390.5669291,45.9581026,
MeanModelFS_Dec_600_9,ND,600,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_600_9,-104521.1788,-91011.96955,243146,14.84453974,360.1968504,45.9581026,
MeanModelFS_Dec_650_9,ND,650,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_650_9,-104521.1788,-91011.96955,236121,14.84453974,353.5905512,45.9581026,
MeanModelFS_Dec_700_9,ND,700,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_700_9,-104521.1788,-91011.96955,277810,14.84453974,418.6456693,45.9581026,
MeanModelFS_Dec_750_9,ND,750,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_750_9,-104521.1788,-91011.96955,299483,14.84453974,323.5433071,45.9581026,
MeanModelFS_Dec_800_9,ND,800,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_800_9,-104521.1788,-91011.96955,308856,14.84453974,407.1417323,45.9581026,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_100_9,-104294.9334,-104294.9334,25937,38.0212055,231.0314961,103.1838492,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_100_9,-104292.902,-47209.48758,107103,13.81146984,209.6535433,35.99538114,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_100_9,-104292.902,-5362.610367,96365,13.69203708,215.976378,35.76154603,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_100_9,0,-74535.40216,115443,13.51726725,241.2598425,35.14906241,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_100_9,0,-87350.14856,109328,13.53761689,235.5275591,35.14868322,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_fixednugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_fixednugget_100_9,0,-92840.14511,95690,59.7454213,222.7637795,81.82662499,
MeanModelFS_Dec_fixednugget_150_9,ND,150,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_fixednugget_150_9,0,-93034.30693,106351,60.10621274,253.8976378,82.39454279,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_100_9,-104292.902,-87350.14856,107009,13.53761689,214.7244094,35.14868322,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_100_9,-104292.902,-86524.07817,171355,14.74936669,222.3307087,34.60917128,
MeanModelFS_Dec_nugget_150_9,ND,150,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_150_9,-104521.1788,-86833.82662,121202,14.67265533,261.3385827,34.588304,
MeanModelFS_Dec_nugget_200_9,ND,200,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_200_9,-104521.1788,-86833.82662,122524,14.67265533,267.3543307,34.588304,
MeanModelFS_Dec_nugget_250_9,ND,250,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_250_9,-104521.1788,-86833.82662,119953,14.67265533,257.6062992,34.588304,
MeanModelFS_Dec_nugget_300_9,ND,300,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_300_9,-104521.1788,-86833.82662,119897,14.67265533,261.1338583,34.588304,
MeanModelFS_Dec_nugget_350_9,ND,350,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_350_9,-104521.1788,-86833.82662,119163,14.67265533,257.4330709,34.588304,
MeanModelFS_Dec_nugget_400_9,ND,400,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_400_9,-104521.1788,-86833.82662,120399,14.67265533,271.1338583,34.588304,
MeanModelFS_Dec_nugget_450_9,ND,450,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_nugget_450_9,-104521.1788,-86833.82662,121705,14.67265533,281.0708661,34.588304,
